"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
2094,5,3,1,1,3,3,3,3,1,1,1,1,1
2095,1,5,5,5,5,5,5,5,-5,-5,-5,-5,1
2096,1,5,5,1,1,1,1,1,1,1,1,1,1
2097,1,1,1,1,3,3,1,1,1,1,1,1,1
2098,5,1,1,1,3,3,1,3,1,1,1,-5,1
2099,5,1,1,1,1,1,1,1,1,1,1,1,1
2100,1,1,1,1,1,3,1,1,1,1,1,1,1
2101,1,1,1,1,1,1,1,1,1,1,1,-5,-5
2102,5,1,1,1,1,1,3,1,1,7,1,1,1
2103,5,1,1,1,1,1,1,1,1,1,1,1,1
2104,5,1,4,3,4,1,2,4,1,1,1,1,1
2105,5,1,1,3,1,4,1,4,4,1,1,1,3
2106,1,1,1,1,1,1,1,1,1,1,2,1,1
2107,1,1,1,1,1,1,1,1,1,1,1,1,1
2108,1,1,1,1,1,1,1,1,1,1,1,1,-5
2109,1,1,1,1,1,1,1,1,1,3,1,3,3
2110,1,1,1,1,5,5,5,1,1,1,1,1,1
2111,1,1,1,1,1,1,1,1,1,7,1,1,1
2112,5,4,4,4,1,4,1,4,1,4,1,4,1
2113,1,1,1,5,5,5,5,5,5,5,1,1,1
2114,5,5,5,5,5,3,1,1,1,1,4,1,1
2115,5,5,1,3,3,1,3,1,1,1,1,1,1
2116,1,3,1,3,3,1,3,3,1,1,3,1,3
2117,1,3,3,3,3,1,3,3,1,1,1,1,2
2118,1,1,1,1,1,3,1,3,3,1,3,3,1
2119,6,6,5,3,1,4,1,4,1,4,1,4,1
2120,5,5,5,5,5,5,1,7,4,1,1,1,1
2121,5,4,4,4,4,4,4,4,3,1,4,1,1
2122,1,7,3,6,3,7,4,3,3,3,3,1,1
2123,5,5,5,1,1,5,1,1,1,1,4,2,1
2124,5,5,5,5,5,5,5,5,5,1,1,1,1
2125,5,1,1,1,4,7,4,4,4,4,4,4,1
2126,6,5,5,5,3,1,1,1,1,1,1,2,2
