"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
1927,5,3,1,1,1,1,2,1,4,4,4,1,1
1928,6,4,4,4,4,4,1,4,4,1,1,1,1
1929,5,1,1,1,1,1,1,1,1,1,1,1,1
1930,1,1,1,1,1,1,1,1,1,1,1,1,1
1931,1,1,7,8,8,8,3,7,1,1,1,1,2
1932,5,5,5,5,1,1,3,3,4,4,4,1,3
1933,5,1,1,1,1,1,-5,-5,1,1,-5,-5,-5
1934,5,5,1,1,1,1,-5,-5,-5,1,1,1,1
1935,5,1,1,1,-5,1,1,1,1,1,4,4,1
1936,5,5,1,1,1,1,1,1,1,1,1,1,1
1937,5,1,1,2,1,1,1,1,1,1,1,4,1
1938,5,1,5,7,1,2,1,1,1,1,4,4,4
1939,5,1,-5,3,1,1,1,1,1,2,1,-5,-5
1940,6,3,4,7,4,4,4,4,4,4,4,4,4
1941,1,1,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
1942,5,3,1,-5,-5,-5,-5,-5,-5,-5,-5,2,1
1943,5,5,5,3,-5,3,1,1,1,1,1,-5,-5
1944,2,1,5,1,1,1,1,1,-5,-5,-5,1,1
1945,2,5,5,5,5,5,1,1,1,-5,1,-5,-5
1946,1,1,1,1,1,1,1,1,1,-5,-5,-5,-5
1947,5,5,4,4,4,4,4,4,4,4,4,4,3
1948,5,5,3,5,1,1,1,1,1,1,1,1,1
1949,5,4,1,1,1,1,1,1,2,7,2,1,2
1950,1,1,1,1,1,1,7,1,1,1,1,1,1
1951,5,1,1,2,5,1,1,3,1,1,1,2,1
1952,1,5,1,2,3,1,3,2,2,1,1,1,1
1953,5,1,5,5,1,5,5,5,5,2,1,1,1
1954,5,5,5,1,3,1,1,4,1,1,4,4,4
1955,1,7,5,5,5,1,1,1,1,1,1,3,1
1956,1,1,1,1,1,1,1,2,1,-5,-5,-5,-5
1957,1,1,1,1,1,1,1,1,1,1,1,1,1
1958,1,1,1,1,1,3,1,1,1,1,1,1,1
1959,1,2,8,8,3,2,1,1,1,1,1,-5,-5
1960,5,3,3,1,1,1,1,1,1,1,1,1,1
1961,1,1,1,1,1,1,1,1,1,1,1,1,1
1962,5,1,1,1,1,4,1,4,4,4,1,3,1
1963,1,1,1,1,1,1,1,1,1,1,1,1,1
1964,1,1,1,3,1,1,1,1,1,1,1,1,1
1965,5,4,4,1,1,1,1,1,1,1,3,3,1
1966,1,1,8,8,8,8,1,1,1,1,1,1,1
1967,5,3,1,1,1,1,1,7,1,1,3,1,1
1968,5,5,3,1,1,1,1,1,1,1,1,1,1
1969,5,7,1,1,1,1,4,1,-5,-5,-5,-5,-5
1970,1,5,5,1,-5,1,7,1,1,1,2,1,1
1971,1,3,3,3,1,1,1,1,1,1,1,1,1
1972,7,5,5,5,5,5,4,5,5,1,1,3,1
1973,5,1,1,1,1,1,1,1,1,-5,1,1,1
1974,5,1,7,1,1,1,1,1,1,1,1,1,1
1975,1,5,5,1,5,4,8,8,8,8,1,1,1
1976,5,5,5,3,8,8,8,8,8,8,8,8,1
1977,1,5,1,1,1,1,1,1,1,1,1,1,1
1978,1,5,5,5,5,5,1,1,1,1,1,1,1
1979,1,1,1,1,1,1,1,1,1,1,1,2,1
1980,5,1,1,1,1,1,1,4,4,4,4,4,4
1981,1,1,1,1,3,3,-5,-5,-5,-5,-5,-5,-5
1982,5,1,1,1,1,1,1,3,1,-5,1,1,1
1983,5,1,-5,1,3,1,1,-5,-5,-5,-5,-5,-5
1984,1,3,7,3,3,3,1,1,1,6,7,4,1
1985,5,3,1,1,1,1,1,-5,-5,-5,1,1,1
1986,5,5,5,1,5,1,1,1,1,1,1,1,1
1987,1,1,1,1,1,6,1,1,1,1,1,1,-5
1988,1,1,1,1,1,1,1,1,1,1,1,1,6
1989,1,3,5,3,3,8,8,8,8,1,1,1,1
1990,5,7,4,4,4,7,4,4,1,1,1,1,1
1991,1,4,3,7,3,3,3,1,1,1,-5,1,7
1992,1,7,3,7,5,1,3,7,5,3,1,1,1
1993,5,4,4,1,4,4,4,4,4,4,4,7,7
1994,5,1,1,1,1,2,1,1,1,1,1,1,1
1995,5,3,5,1,1,2,1,1,1,1,1,1,1
1996,1,1,3,3,1,1,8,8,8,8,1,1,1
1997,5,3,-5,2,2,4,3,1,1,1,1,2,2
1998,1,1,-5,1,1,1,3,1,8,8,8,8,8
1999,5,1,1,1,3,1,1,1,1,1,1,1,1
2000,1,1,1,1,1,1,1,1,1,1,1,1,1
2001,1,3,5,1,3,7,5,5,7,1,1,1,1
2002,5,3,4,4,4,4,4,4,4,7,4,4,4
2003,5,5,1,1,3,3,1,1,7,1,1,4,4
2004,5,1,3,1,1,1,1,1,1,1,3,1,1
2005,1,5,5,5,5,5,3,5,5,1,1,-5,-5
2006,1,1,1,5,5,7,5,1,1,-5,1,1,1
2007,1,5,5,5,3,1,1,1,1,1,1,1,2
2008,5,1,1,1,3,1,3,1,4,4,4,4,1
2009,5,1,5,5,5,1,1,1,1,1,4,3,1
2010,1,1,3,5,5,1,1,1,1,1,1,1,1
2011,5,1,1,1,1,1,1,1,1,1,2,1,1
2012,5,1,1,1,3,3,3,1,1,1,3,1,1
2013,5,3,1,1,1,4,4,4,1,1,7,4,1
2014,1,1,1,1,1,1,1,1,1,1,1,1,1
2015,2,1,3,3,3,3,1,2,3,1,1,4,1
2016,5,1,5,1,2,1,7,1,1,1,2,2,2
2017,5,3,3,5,3,1,3,5,1,3,3,1,1
2018,1,1,1,1,1,1,-5,1,2,1,2,1,1
2019,1,1,3,1,1,3,-5,1,1,-5,-5,2,1
2020,1,1,5,1,1,1,1,1,1,3,-5,1,1
2021,5,1,1,1,4,4,1,4,4,7,1,1,1
2022,1,5,1,1,1,1,1,3,3,1,1,1,1
2023,1,3,3,1,1,7,7,7,7,7,7,7,7
2024,1,5,1,2,5,7,3,1,5,1,1,1,1
2025,1,1,1,1,1,1,1,1,1,2,1,1,1
2026,1,3,8,8,8,8,3,1,1,1,1,1,1
2027,5,5,2,1,4,4,4,4,4,4,7,3,1
2028,1,1,1,1,1,1,1,1,1,1,1,1,1
2029,2,1,1,3,1,1,2,1,1,1,1,5,-5
2030,6,1,1,1,3,1,1,1,1,1,1,1,-5
2031,1,5,5,3,5,3,3,7,1,1,1,1,1
2032,1,1,3,1,1,3,3,1,1,1,1,1,1
2033,1,5,1,1,1,1,1,1,1,1,1,1,1
2034,1,2,1,1,7,7,8,8,8,3,1,3,-5
2035,5,1,5,5,1,3,1,1,1,1,1,1,1
2036,5,1,1,1,1,1,1,-5,1,-5,-5,-5,-5
2037,6,1,1,1,1,1,1,1,1,1,1,1,1
2038,1,3,1,1,1,1,1,1,1,1,1,1,1
2039,1,2,1,1,1,1,-5,-5,-5,-5,-5,-5,-5
2040,1,5,5,1,1,5,1,7,1,1,1,1,1
2041,1,3,5,7,1,3,1,3,1,1,1,1,5
2042,5,1,2,1,1,1,1,1,1,1,1,1,1
2043,2,1,3,1,1,3,1,1,5,1,1,1,1
2044,1,1,2,1,1,3,-5,-5,-5,-5,-5,-5,-5
2045,1,5,5,5,1,1,3,3,3,6,1,1,-5
2046,5,5,5,5,5,3,3,3,1,5,3,1,1
2047,1,3,8,8,8,1,3,1,1,1,1,2,1
2048,1,5,5,1,5,1,1,1,1,1,1,1,1
2049,5,1,3,3,1,1,1,1,1,1,1,1,1
2050,5,1,1,3,4,4,4,4,4,1,1,1,1
2051,1,5,5,1,1,2,1,1,1,1,2,1,2
2052,5,1,-5,-5,-5,-5,-5,-5,-5,-5,1,-5,-5
2053,6,5,5,1,-5,4,4,-5,-5,-5,-5,-5,-5
2054,5,7,4,4,4,3,4,1,1,1,2,3,2
2055,1,1,1,1,3,1,3,1,1,1,1,1,1
2056,1,1,5,1,1,1,1,1,1,1,1,1,1
2057,5,1,1,1,3,1,4,4,1,1,1,3,7
2058,7,1,3,1,1,1,1,1,1,1,4,5,1
2059,2,3,5,5,7,6,6,6,7,7,6,1,1
2060,2,1,1,7,7,3,3,3,1,1,3,1,3
2061,5,1,1,1,1,8,8,8,8,1,1,1,1
2062,5,1,1,1,1,1,1,1,1,5,1,1,1
2063,5,1,1,1,4,3,3,1,7,1,1,1,1
2064,5,1,1,1,1,2,3,1,1,1,1,1,1
2065,1,3,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2066,5,3,1,1,1,4,-5,-5,1,2,1,1,1
2067,1,1,1,1,3,3,1,1,1,1,1,1,1
2068,5,1,6,1,5,5,1,1,1,1,1,1,1
2069,1,5,5,5,1,1,1,5,3,3,1,1,-5
2070,5,1,3,1,1,1,1,3,1,2,4,3,1
2071,5,1,1,1,1,1,1,1,1,1,1,1,1
2072,5,1,1,1,1,1,1,1,1,4,4,4,4
2073,5,1,1,1,1,1,1,1,1,1,1,1,1
2074,5,5,5,1,1,1,1,1,1,1,1,1,1
2075,1,1,1,1,1,1,1,1,1,1,1,1,1
2076,5,1,1,1,1,1,1,1,1,1,1,4,4
2077,5,7,1,4,3,1,1,1,1,1,1,1,1
2078,1,5,5,5,5,7,6,7,7,4,7,7,6
2079,5,5,1,1,1,1,4,3,1,1,1,1,1
2080,1,1,4,1,1,1,4,3,1,1,7,3,7
2081,1,1,3,3,1,1,1,1,3,1,1,1,1
2082,5,5,1,1,1,1,1,1,1,1,1,1,1
2083,5,1,1,1,1,1,1,1,1,1,1,1,1
2084,6,1,1,5,7,5,1,1,1,-5,-5,-5,-5
2085,1,3,5,3,3,1,3,1,1,1,1,1,1
2086,1,1,1,1,1,1,1,1,1,1,1,1,1
2087,1,1,1,1,1,1,1,1,1,1,1,1,1
2088,5,1,3,1,1,1,1,1,1,1,1,1,2
2089,1,1,1,1,1,3,1,1,1,1,1,1,1
2090,1,1,4,1,1,1,3,1,1,1,1,1,1
2091,1,3,3,3,3,4,3,3,7,3,1,1,1
2092,1,3,5,3,3,3,1,3,1,7,1,-5,7
2093,1,1,1,1,1,3,1,1,1,1,1,1,1
